"KIS_ID","Chromosome","Start_position","End_position","UMAG_ID","Description","Gene_type","Prot_ID"
"KIS66858","USMA_521_v2_16",80472,81539,"UMAG_05644","hypothetical protein","Hypothetical","12227"
"KIS66859","USMA_521_v2_16",82356,83131,"UMAG_05645","hypothetical protein","Hypothetical","12228"
"KIS66860","USMA_521_v2_16",83378,86497,"UMAG_05646","hypothetical protein","Hypothetical","12229"
"KIS66861","USMA_521_v2_16",87482,89887,"UMAG_05647","hypothetical protein","Hypothetical","12230"
"KIS66862","USMA_521_v2_16",90275,94009,"UMAG_05648","hypothetical protein","Hypothetical","12231"
"KIS66863","USMA_521_v2_16",94800,97178,"UMAG_05649","hypothetical protein","Hypothetical","12232"
"KIS66864","USMA_521_v2_16",97384,98316,"UMAG_10723","hypothetical protein","Hypothetical","12233"
"KIS66865","USMA_521_v2_16",99278,99934,"UMAG_10724","putative mitochondrial 54S ribosomal protein","Putative","12234"
"KIS66866","USMA_521_v2_16",100486,103247,"UMAG_05651","hypothetical protein","Hypothetical","12235"
"KIS66867","USMA_521_v2_16",103943,104819,"UMAG_05652","putative proteasome core particle subunit alpha 2","Putative","12236"
"KIS66868","USMA_521_v2_16",105016,107052,"UMAG_05653","hypothetical protein","Hypothetical","12237"
"KIS66869","USMA_521_v2_16",109298,109965,"UMAG_05654","putative ras-related GTP-binding protein","Putative","12238"
"KIS66870","USMA_521_v2_16",110276,111007,"UMAG_10725","hypothetical protein","Hypothetical","12239"
"KIS66871","USMA_521_v2_16",112101,116006,"UMAG_05656","hypothetical protein","Hypothetical","12240"
"KIS66872","USMA_521_v2_16",122283,123851,"UMAG_05658","hypothetical protein","Hypothetical","12241"
"KIS66873","USMA_521_v2_16",124377,127652,"UMAG_05659","hypothetical protein","Hypothetical","12242"
"KIS66874","USMA_521_v2_16",128566,132084,"UMAG_05660","hypothetical protein","Hypothetical","12243"
"KIS66875","USMA_521_v2_16",132404,133676,"UMAG_10726","hypothetical protein","Hypothetical","12244"
"KIS66876","USMA_521_v2_16",136298,137191,"UMAG_05662","putative porin","Putative","12245"
"KIS66877","USMA_521_v2_16",139558,140016,"UMAG_05663","hypothetical protein","Hypothetical","12246"
"KIS66878","USMA_521_v2_16",142104,143813,"UMAG_05664","hypothetical protein","Hypothetical","12247"
"KIS66879","USMA_521_v2_16",144718,145875,"UMAG_05665","hypothetical protein","Hypothetical","12248"
"KIS66880","USMA_521_v2_16",146172,152945,"UMAG_10727","hypothetical protein","Hypothetical","12249"
"KIS66881","USMA_521_v2_16",153421,154485,"UMAG_10728","hypothetical protein","Hypothetical","12250"
"KIS66882","USMA_521_v2_16",155572,159456,"UMAG_10729","hypothetical protein","Hypothetical","12251"
"KIS66883","USMA_521_v2_16",159784,165081,"UMAG_10730","hypothetical protein","Hypothetical","12252"
"KIS66884","USMA_521_v2_16",166906,168125,"UMAG_10731","hypothetical protein","Hypothetical","12253"
"KIS66885","USMA_521_v2_16",168956,170062,"UMAG_10732","hypothetical protein","Hypothetical","12254"
"KIS66886","USMA_521_v2_16",170250,172331,"UMAG_05671","hypothetical protein","Hypothetical","12255"
"KIS66887","USMA_521_v2_16",173171,174883,"UMAG_10733","hypothetical protein","Hypothetical","12256"
"KIS66888","USMA_521_v2_16",177934,179493,"UMAG_10735","putative 2-oxoisovalerate dehydrogenase subunit alpha","Putative","12257"
"KIS66889","USMA_521_v2_16",179855,180949,"UMAG_05674","putative dna/rna non-specific nuclease","Putative","12258"
"KIS66890","USMA_521_v2_16",181398,182726,"UMAG_05675","hypothetical protein","Hypothetical","12259"
"KIS66891","USMA_521_v2_16",182950,184524,"UMAG_05676","hypothetical protein","Hypothetical","12260"
"KIS66892","USMA_521_v2_16",184971,186218,"UMAG_05677","hypothetical protein","Hypothetical","12261"
"KIS66893","USMA_521_v2_16",186694,187564,"UMAG_05678","hypothetical protein","Hypothetical","12262"
"KIS66894","USMA_521_v2_16",187727,188689,"UMAG_05679","hypothetical protein","Hypothetical","12263"
"KIS66895","USMA_521_v2_16",189433,191730,"UMAG_05680","hypothetical protein","Hypothetical","12264"
"KIS66896","USMA_521_v2_16",194162,198508,"UMAG_12312","hypothetical protein","Hypothetical","12265"
"KIS66897","USMA_521_v2_16",198643,201813,"UMAG_10737","hypothetical protein","Hypothetical","12266"
"KIS66898","USMA_521_v2_16",202532,203074,"UMAG_05683","putative 60S ribosome biogenesis protein","Putative","12267"
"KIS66899","USMA_521_v2_16",203808,204740,"UMAG_05684","hypothetical protein","Hypothetical","12268"
"KIS66900","USMA_521_v2_16",204895,207480,"UMAG_10738","hypothetical protein","Hypothetical","12269"
"KIS66901","USMA_521_v2_16",208540,209343,"UMAG_05686","hypothetical protein","Hypothetical","12270"
"KIS66902","USMA_521_v2_16",209711,210577,"UMAG_05687","putative 20S proteasome subunit alpha 6","Putative","12271"
"KIS66903","USMA_521_v2_16",211192,212472,"UMAG_05688","hypothetical protein","Hypothetical","12272"
"KIS66904","USMA_521_v2_16",212612,213829,"UMAG_05689","hypothetical protein","Hypothetical","12273"
"KIS66905","USMA_521_v2_16",214904,217771,"UMAG_05690","hypothetical protein","Hypothetical","12274"
"KIS66906","USMA_521_v2_16",221221,221637,"UMAG_10739","hypothetical protein","Hypothetical","12275"
"KIS66907","USMA_521_v2_16",222389,223265,"UMAG_05691","hypothetical protein","Hypothetical","12276"
"KIS66908","USMA_521_v2_16",223400,227983,"UMAG_05692","hypothetical protein","Hypothetical","12277"
"KIS66909","USMA_521_v2_16",228874,229757,"UMAG_05693","putative rho GDP dissociation inhibitor","Putative","12278"
"KIS66910","USMA_521_v2_16",229974,230918,"UMAG_05694","hypothetical protein","Hypothetical","12279"
"KIS66911","USMA_521_v2_16",232996,235263,"UMAG_05695","putative eukaryotic peptide chain release factor GTP-binding subunit","Putative","12280"
"KIS66912","USMA_521_v2_16",236162,236818,"UMAG_10740","hypothetical protein","Hypothetical","12281"
"KIS66913","USMA_521_v2_16",236901,237759,"UMAG_10741","hypothetical protein","Hypothetical","12282"
"KIS66914","USMA_521_v2_16",238381,240633,"UMAG_05698","putative ser/thr protein kinase","Putative","12283"
"KIS66915","USMA_521_v2_16",242556,242877,"UMAG_10742","hypothetical protein","Hypothetical","12284"
"KIS66916","USMA_521_v2_16",245076,246542,"UMAG_05700","hypothetical protein","Hypothetical","12285"
"KIS66917","USMA_521_v2_16",246981,250928,"UMAG_15084","hypothetical protein","Hypothetical","12286"
"KIS66918","USMA_521_v2_16",252171,253217,"UMAG_05702","hypothetical protein","Hypothetical","12287"
"KIS66919","USMA_521_v2_16",253576,254673,"UMAG_05703","hypothetical protein","Hypothetical","12288"
"KIS66920","USMA_521_v2_16",255293,256384,"UMAG_05704","hypothetical protein","Hypothetical","12289"
"KIS66921","USMA_521_v2_16",260571,261392,"UMAG_05705","hypothetical protein","Hypothetical","12290"
"KIS66922","USMA_521_v2_16",264000,269639,"UMAG_05706","hypothetical protein","Hypothetical","12291"
"KIS66923","USMA_521_v2_16",273258,273560,"UMAG_05707","hypothetical protein","Hypothetical","12292"
"KIS66924","USMA_521_v2_16",274525,275418,"UMAG_05708","hypothetical protein","Hypothetical","12293"
"KIS66925","USMA_521_v2_16",276115,277326,"UMAG_05709","putative GPI-anchor transamidase","Putative","12294"
"KIS66926","USMA_521_v2_16",278777,279801,"UMAG_15022","hypothetical protein","Hypothetical","12295"
"KIS66927","USMA_521_v2_16",281841,283982,"UMAG_10934","hypothetical protein","Hypothetical","12296"
"KIS66928","USMA_521_v2_16",284157,286100,"UMAG_10935","hypothetical protein","Hypothetical","12297"
"KIS66929","USMA_521_v2_16",286418,286749,"UMAG_10936","hypothetical protein","Hypothetical","12298"
"KIS66930","USMA_521_v2_16",287998,289755,"UMAG_10937","hypothetical protein","Hypothetical","12299"
"KIS66931","USMA_521_v2_16",289954,292752,"UMAG_05714","hypothetical protein","Hypothetical","12300"
"KIS66932","USMA_521_v2_16",293232,294836,"UMAG_05715","hypothetical protein","Hypothetical","12301"
"KIS66933","USMA_521_v2_16",295147,296223,"UMAG_10938","putative NADP-dependent mannitol dehydrogenase","Putative","12302"
"KIS66934","USMA_521_v2_16",298797,299486,"UMAG_10939","hypothetical protein","Hypothetical","12303"
"KIS66935","USMA_521_v2_16",299566,300477,"UMAG_10940","hypothetical protein","Hypothetical","12304"
"KIS66936","USMA_521_v2_16",301944,303983,"UMAG_05718","hypothetical protein","Hypothetical","12305"
"KIS66937","USMA_521_v2_16",304362,306644,"UMAG_05719","hypothetical protein","Hypothetical","12306"
"KIS66938","USMA_521_v2_16",309169,311064,"UMAG_05720","hypothetical protein","Hypothetical","12307"
"KIS66939","USMA_521_v2_16",311349,315068,"UMAG_05721","hypothetical protein","Hypothetical","12308"
"KIS66940","USMA_521_v2_16",316807,320304,"UMAG_05722","putative 40S ribosome biogenesis GTP-binding protein","Putative","12309"
"KIS66941","USMA_521_v2_16",321530,323572,"UMAG_10941","hypothetical protein","Hypothetical","12310"
"KIS66942","USMA_521_v2_16",323709,325098,"UMAG_05724","hypothetical protein","Hypothetical","12311"
"KIS66943","USMA_521_v2_16",325957,326670,"UMAG_05725","putative methylene-fatty-acyl-phospholipid synthase","Putative","12312"
"KIS66944","USMA_521_v2_16",328701,332373,"UMAG_15023","putative protein kinase C","Putative","12313"
"KIS66945","USMA_521_v2_16",332708,335458,"UMAG_10913","hypothetical protein","Hypothetical","12314"
"KIS66946","USMA_521_v2_16",336310,338598,"UMAG_05726","hypothetical protein","Hypothetical","12315"
"KIS66947","USMA_521_v2_16",338874,342578,"UMAG_10914","hypothetical protein","Hypothetical","12316"
"KIS66948","USMA_521_v2_16",343475,344461,"UMAG_05728","hypothetical protein","Hypothetical","12317"
"KIS66949","USMA_521_v2_16",344584,345551,"UMAG_05729","hypothetical protein","Hypothetical","12318"
"KIS66950","USMA_521_v2_16",346951,347823,"UMAG_05731","secreted chorismate mutase","Annotated","12319"
"KIS66951","USMA_521_v2_16",348243,352961,"UMAG_05732","hypothetical protein","Hypothetical","12320"
"KIS66952","USMA_521_v2_16",357071,358286,"UMAG_05733","hypothetical protein","Hypothetical","12321"
"KIS66953","USMA_521_v2_16",358765,359756,"UMAG_05734","Rho family GTPase RHO1","Annotated","12322"
"KIS66954","USMA_521_v2_16",363819,366332,"UMAG_05736","hypothetical protein","Hypothetical","12323"
"KIS66955","USMA_521_v2_16",366655,369093,"UMAG_05737","hypothetical protein","Hypothetical","12324"
"KIS66956","USMA_521_v2_16",371556,374102,"UMAG_05739","hypothetical protein","Hypothetical","12325"
"KIS66957","USMA_521_v2_16",374287,376119,"UMAG_05740","putative dihydroxy-acid dehydratase ILV3","Putative","12326"
"KIS66958","USMA_521_v2_16",376948,377532,"UMAG_05741","hypothetical protein","Hypothetical","12327"
"KIS66959","USMA_521_v2_16",378212,378955,"UMAG_05742","hypothetical protein","Hypothetical","12328"
"KIS66960","USMA_521_v2_16",379913,380284,"UMAG_12313","hypothetical protein","Hypothetical","12329"
"KIS66961","USMA_521_v2_16",380372,383596,"UMAG_10915","putative DEAH-box RNA-dependent ATPase","Putative","12330"
"KIS66962","USMA_521_v2_16",383945,386623,"UMAG_10916","hypothetical protein","Hypothetical","12331"
"KIS66963","USMA_521_v2_16",387297,388131,"UMAG_10917","putative RING-box protein 1","Putative","12332"
"KIS66964","USMA_521_v2_16",388374,392279,"UMAG_05745","hypothetical protein","Hypothetical","12333"
"KIS66965","USMA_521_v2_16",392788,394305,"UMAG_05746","hypothetical protein","Hypothetical","12334"
"KIS66966","USMA_521_v2_16",394440,394906,"UMAG_10918","Brh2-interacting protein Dss1","Annotated","12335"
"KIS66967","USMA_521_v2_16",396505,400755,"UMAG_05747","hypothetical protein","Hypothetical","12336"
"KIS66968","USMA_521_v2_16",401288,402102,"UMAG_05748","hypothetical protein","Hypothetical","12337"
"KIS66969","USMA_521_v2_16",402339,406769,"UMAG_05749","hypothetical protein","Hypothetical","12338"
"KIS66970","USMA_521_v2_16",408654,410261,"UMAG_05750","hypothetical protein","Hypothetical","12339"
"KIS66971","USMA_521_v2_16",420967,423765,"UMAG_05753","hypothetical protein","Hypothetical","12340"
"KIS66972","USMA_521_v2_16",424148,425320,"UMAG_05754","putative electron transfer flavoprotein alpha chain precursor","Putative","12341"
"KIS66973","USMA_521_v2_16",426092,427573,"UMAG_05755","hypothetical protein","Hypothetical","12342"
"KIS66974","USMA_521_v2_16",427709,430189,"UMAG_05756","hypothetical protein","Hypothetical","12343"
"KIS66975","USMA_521_v2_16",430786,431780,"UMAG_12021","hypothetical protein","Hypothetical","12344"
"KIS66976","USMA_521_v2_16",433218,436328,"UMAG_05758","hypothetical protein","Hypothetical","12345"
"KIS66977","USMA_521_v2_16",436770,437424,"UMAG_12022","hypothetical protein","Hypothetical","12346"
"KIS66978","USMA_521_v2_16",437563,439869,"UMAG_12023","hypothetical protein","Hypothetical","11961"
"KIS66978","USMA_521_v2_16",437563,439869,"UMAG_12023","hypothetical protein","Hypothetical","12347"
"KIS66979","USMA_521_v2_16",440808,445109,"UMAG_05760","hypothetical protein","Hypothetical","12348"
"KIS66980","USMA_521_v2_16",446086,446961,"UMAG_05761","EB1-like protein","Annotated","12349"
"KIS66981","USMA_521_v2_16",447370,450054,"UMAG_12024","hypothetical protein","Hypothetical","12350"
"KIS66982","USMA_521_v2_16",454381,455877,"UMAG_05764","hypothetical protein","Hypothetical","12351"
"KIS66983","USMA_521_v2_16",459295,460271,"UMAG_05766","putative tricarboxylate secondary active transmembrane transporter","Putative","12352"
"KIS66984","USMA_521_v2_16",460735,461676,"UMAG_11581","hypothetical protein","Hypothetical","12353"
"KIS66985","USMA_521_v2_16",462659,467344,"UMAG_05767","hypothetical protein","Hypothetical","12354"
"KIS66986","USMA_521_v2_16",467819,471244,"UMAG_11582","hypothetical protein","Hypothetical","12355"
"KIS66987","USMA_521_v2_16",471368,472915,"UMAG_05769","hypothetical protein","Hypothetical","12356"
"KIS66988","USMA_521_v2_16",473686,476223,"UMAG_05770","TSD2 protein, required for DNA replication","Annotated","12357"
"KIS66989","USMA_521_v2_16",476436,481997,"UMAG_05771","hypothetical protein","Hypothetical","11787"
"KIS66989","USMA_521_v2_16",476436,481997,"UMAG_05771","hypothetical protein","Hypothetical","12358"
"KIS66990","USMA_521_v2_16",484001,484515,"UMAG_05772","hypothetical protein","Hypothetical","12359"
"KIS66991","USMA_521_v2_16",486141,487730,"UMAG_05773","hypothetical protein","Hypothetical","12360"
"KIS66992","USMA_521_v2_16",488425,489282,"UMAG_05774","hypothetical protein","Hypothetical","12361"
"KIS66993","USMA_521_v2_16",492443,493024,"UMAG_11583","hypothetical protein","Hypothetical","12362"
"KIS66994","USMA_521_v2_16",493833,495380,"UMAG_05776","putative cysteine desulfurase (tRNA splicing protein SPL1)","Putative","12363"
"KIS66995","USMA_521_v2_16",497221,501030,"UMAG_05777","hypothetical protein","Hypothetical","12364"
"KIS66996","USMA_521_v2_16",501380,501818,"UMAG_12314","hypothetical protein","Hypothetical","12365"
"KIS66997","USMA_521_v2_16",502420,503445,"UMAG_11584","hypothetical protein","Hypothetical","12366"
"KIS66998","USMA_521_v2_16",503629,504414,"UMAG_05780","hypothetical protein","Hypothetical","12367"
"KIS66999","USMA_521_v2_16",505481,506470,"UMAG_05781","hypothetical protein","Hypothetical","12368"
"KIS67000","USMA_521_v2_16",507558,509585,"UMAG_05782","capsule-associated protein-like protein","Annotated","12369"
"KIS67001","USMA_521_v2_16",510044,511483,"UMAG_05783","hypothetical protein","Hypothetical","12370"
"KIS67002","USMA_521_v2_16",513002,514930,"UMAG_11585","hypothetical protein","Hypothetical","12371"
"KIS67003","USMA_521_v2_16",516428,517753,"UMAG_05785","acyl transferase-like protein","Annotated","12372"
"KIS67004","USMA_521_v2_16",519761,521008,"UMAG_05786","hypothetical protein","Hypothetical","12373"
"KIS67005","USMA_521_v2_16",522109,524091,"UMAG_05787","hypothetical protein","Hypothetical","12374"
"KIS67006","USMA_521_v2_16",524150,525444,"UMAG_11586","hypothetical protein","Hypothetical","12375"
"KIS67007","USMA_521_v2_16",526364,527003,"UMAG_05789","hypothetical protein","Hypothetical","12376"
"KIS67008","USMA_521_v2_16",527374,529764,"UMAG_05790","hypothetical protein","Hypothetical","12377"
"KIS67009","USMA_521_v2_16",529888,531588,"UMAG_05791","hypothetical protein","Hypothetical","12378"
"KIS67010","USMA_521_v2_16",532565,534067,"UMAG_05792","hypothetical protein","Hypothetical","12379"
"KIS67011","USMA_521_v2_16",536361,536609,"UMAG_11587","hypothetical protein","Hypothetical","12380"
"KIS67012","USMA_521_v2_16",538673,543259,"UMAG_05794","putative ATP-binding cassette glutathione S-conjugate transporter","Putative","12381"
"KIS67013","USMA_521_v2_16",543753,545309,"UMAG_05795","hypothetical protein","Hypothetical","12382"
"KIS67014","USMA_521_v2_16",546799,548542,"UMAG_05796","hypothetical protein","Hypothetical","12383"
"KIS67015","USMA_521_v2_16",549949,551425,"UMAG_12315","hypothetical protein","Hypothetical","12384"
"KIS67814","USMA_521_v2_11",1156,5256,"UMAG_03871","hypothetical protein","Hypothetical","11163"
"KIS67815","USMA_521_v2_11",6214,6912,"UMAG_03872","hypothetical protein","Hypothetical","11164"
"KIS67816","USMA_521_v2_11",7304,7999,"UMAG_03873","putative uracil phosphoribosyltransferase","Putative","11165"
"KIS67817","USMA_521_v2_11",8653,12033,"UMAG_03874","hypothetical protein","Hypothetical","11166"
"KIS67818","USMA_521_v2_11",12705,13056,"UMAG_03875","hypothetical protein","Hypothetical","11167"
"KIS67819","USMA_521_v2_11",14322,17441,"UMAG_03876","hypothetical protein","Hypothetical","11168"
"KIS67820","USMA_521_v2_11",17763,20825,"UMAG_03877","hypothetical protein","Hypothetical","11169"
"KIS67821","USMA_521_v2_11",21718,22392,"UMAG_11509","hypothetical protein","Hypothetical","11170"
"KIS67822","USMA_521_v2_11",22856,25465,"UMAG_11510","hypothetical protein","Hypothetical","11171"
"KIS67823","USMA_521_v2_11",25745,27023,"UMAG_03880","hypothetical protein","Hypothetical","11172"
"KIS67824","USMA_521_v2_11",27876,28523,"UMAG_03881","hypothetical protein","Hypothetical","11173"
"KIS67825","USMA_521_v2_11",32753,41335,"UMAG_03883","hypothetical protein","Hypothetical","11174"
"KIS67826","USMA_521_v2_11",42223,45588,"UMAG_03884","hypothetical protein","Hypothetical","11175"
"KIS67827","USMA_521_v2_11",48120,50611,"UMAG_11511","hypothetical protein","Hypothetical","11176"
"KIS67828","USMA_521_v2_11",51440,54461,"UMAG_03886","hypothetical protein","Hypothetical","11177"
"KIS67829","USMA_521_v2_11",54621,55654,"UMAG_11512","hypothetical protein","Hypothetical","11178"
"KIS67830","USMA_521_v2_11",60376,61976,"UMAG_03888","hypothetical protein","Hypothetical","11179"
"KIS67831","USMA_521_v2_11",62371,63350,"UMAG_12244","hypothetical protein","Hypothetical","11180"
"KIS67832","USMA_521_v2_11",65174,66958,"UMAG_03890","hypothetical protein","Hypothetical","11181"
"KIS67833","USMA_521_v2_11",68081,69587,"UMAG_11513","hypothetical protein","Hypothetical","11182"
"KIS67834","USMA_521_v2_11",69749,71809,"UMAG_03892","putative ATP dependent DEAD-box family RNA helicase","Putative","11183"
"KIS67835","USMA_521_v2_11",72236,73075,"UMAG_03893","hypothetical protein","Hypothetical","11184"
"KIS67836","USMA_521_v2_11",74882,76786,"UMAG_11514","putative High-affinity glucose transporter","Putative","11185"
"KIS67837","USMA_521_v2_11",78039,78515,"UMAG_11515","hypothetical protein","Hypothetical","11186"
"KIS67838","USMA_521_v2_11",79651,80127,"UMAG_03897","hypothetical protein","Hypothetical","11187"
"KIS67839","USMA_521_v2_11",80650,85248,"UMAG_03898","hypothetical protein","Hypothetical","11188"
"KIS67840","USMA_521_v2_11",85994,86749,"UMAG_11516","hypothetical protein","Hypothetical","11189"
"KIS67841","USMA_521_v2_11",87685,89904,"UMAG_15099","hypothetical protein","Hypothetical","11190"
"KIS67842","USMA_521_v2_11",91140,93818,"UMAG_11966","hypothetical protein","Hypothetical","11191"
"KIS67843","USMA_521_v2_11",94107,96648,"UMAG_11967","hypothetical protein","Hypothetical","11192"
"KIS67844","USMA_521_v2_11",102409,106743,"UMAG_03901","hypothetical protein","Hypothetical","11193"
"KIS67845","USMA_521_v2_11",106903,109305,"UMAG_03902","hypothetical protein","Hypothetical","11194"
"KIS67846","USMA_521_v2_11",109976,112357,"UMAG_11968","hypothetical protein","Hypothetical","11195"
"KIS67847","USMA_521_v2_11",112457,115099,"UMAG_11969","hypothetical protein","Hypothetical","11196"
"KIS67848","USMA_521_v2_11",116135,117874,"UMAG_03905","hypothetical protein","Hypothetical","11197"
"KIS67849","USMA_521_v2_11",119013,123026,"UMAG_03906","hypothetical protein","Hypothetical","11198"
"KIS67850","USMA_521_v2_11",123313,127851,"UMAG_11970","hypothetical protein","Hypothetical","11199"
"KIS67851","USMA_521_v2_11",130032,133442,"UMAG_15063","hypothetical protein","Hypothetical","11200"
"KIS67852","USMA_521_v2_11",133806,135611,"UMAG_03908","hypothetical protein","Hypothetical","11201"
"KIS67853","USMA_521_v2_11",139512,141497,"UMAG_03909","hypothetical protein","Hypothetical","11202"
"KIS67854","USMA_521_v2_11",143148,143878,"UMAG_03910","putative calmodulin","Putative","11203"
"KIS67855","USMA_521_v2_11",144185,145612,"UMAG_03911","hypothetical protein","Hypothetical","11204"
"KIS67856","USMA_521_v2_11",148565,152365,"UMAG_15070","putative Rho family guanine nucleotide exchange factor","Putative","11205"
"KIS67857","USMA_521_v2_11",152822,153531,"UMAG_11288","putative ubiquinol-cytochrome c reductase complex protein","Putative","11206"
"KIS67858","USMA_521_v2_11",155325,156581,"UMAG_03914","hypothetical protein","Hypothetical","11207"
"KIS67859","USMA_521_v2_11",156776,158068,"UMAG_11289","hypothetical protein","Hypothetical","11208"
"KIS67860","USMA_521_v2_11",158848,159367,"UMAG_03916","putative histone H3","Putative","11209"
"KIS67861","USMA_521_v2_11",164238,166160,"UMAG_03917","cell cycle regulatory protein","Annotated","11210"
"KIS67862","USMA_521_v2_11",167928,170072,"UMAG_03918","hypothetical protein","Hypothetical","11211"
"KIS67863","USMA_521_v2_11",170351,170997,"UMAG_03919","hypothetical protein","Hypothetical","11212"
"KIS67864","USMA_521_v2_11",171612,173411,"UMAG_11290","hypothetical protein","Hypothetical","11213"
"KIS67865","USMA_521_v2_11",173674,178722,"UMAG_03921","putative clathrin heavy chain","Putative","11214"
"KIS67866","USMA_521_v2_11",179850,181076,"UMAG_11291","putative proteasome regulatory particle base subunit RPT4","Putative","11215"
"KIS67867","USMA_521_v2_11",181587,182165,"UMAG_03923","hypothetical protein","Hypothetical","11216"
"KIS67868","USMA_521_v2_11",190152,192110,"UMAG_03924","repellent protein 1 precursor","Annotated","11217"
"KIS67869","USMA_521_v2_11",192674,195031,"UMAG_03925","hypothetical protein","Hypothetical","11218"
"KIS67870","USMA_521_v2_11",195540,197704,"UMAG_11292","hypothetical protein","Hypothetical","11219"
"KIS67871","USMA_521_v2_11",197900,199261,"UMAG_03927","hypothetical protein","Hypothetical","11220"
"KIS67872","USMA_521_v2_11",203230,207045,"UMAG_03928","hypothetical protein","Hypothetical","11221"
"KIS67873","USMA_521_v2_11",208361,208996,"UMAG_03929","hypothetical protein","Hypothetical","11222"
"KIS67874","USMA_521_v2_11",209593,210672,"UMAG_03930","hypothetical protein","Hypothetical","11223"
"KIS67875","USMA_521_v2_11",210949,211619,"UMAG_11517","hypothetical protein","Hypothetical","11224"
"KIS67876","USMA_521_v2_11",212421,213530,"UMAG_03932","hypothetical protein","Hypothetical","11225"
"KIS67877","USMA_521_v2_11",214888,215646,"UMAG_03933","hypothetical protein","Hypothetical","11226"
"KIS67878","USMA_521_v2_11",216974,219763,"UMAG_11518","hypothetical protein","Hypothetical","11227"
"KIS67879","USMA_521_v2_11",220088,221653,"UMAG_03935","hypothetical protein","Hypothetical","11228"
"KIS67880","USMA_521_v2_11",222252,225857,"UMAG_03936","putative ATP dependent RNA helicase","Putative","11229"
"KIS67881","USMA_521_v2_11",226804,228233,"UMAG_03937","putative diacylglycerol acyltransferase type 2b","Putative","11230"
"KIS67882","USMA_521_v2_11",228480,229256,"UMAG_03938","hypothetical protein","Hypothetical","11231"
"KIS67883","USMA_521_v2_11",229739,230806,"UMAG_03939","hypothetical protein","Hypothetical","11232"
"KIS67884","USMA_521_v2_11",231002,231928,"UMAG_12246","hypothetical protein","Hypothetical","11233"
"KIS67885","USMA_521_v2_11",232191,233648,"UMAG_03941","hypothetical protein","Hypothetical","11234"
"KIS67886","USMA_521_v2_11",233912,238054,"UMAG_03942","hypothetical protein","Hypothetical","11235"
"KIS67887","USMA_521_v2_11",240132,241073,"UMAG_03943","hypothetical protein","Hypothetical","11236"
"KIS67888","USMA_521_v2_11",241341,246035,"UMAG_03944","hypothetical protein","Hypothetical","11237"
